buy #,Symbol,b/s,buy date,purchase price,purchase qty,COGS,sell #,Symbol,b/s,sell date,sell price,sell qty,Revenue,fee,net sale,gain/loss $,gain/loss %,days held,G/L,Week
568,T,B,1/8/2019,(31.2099),60,-1872.594,518,T,S,1/8/2019,31.3000 ,60,1878.000,0.040,1877.960,5.406,0.289%,0,G,2
498,TCEHY,B,1/8/2019,(40.9000),100,-4090.000,526,TCEHY,S,1/8/2019,40.6600 ,100,4066.000,0.040,4065.960,-24.000,-0.587%,0,L,2
501,TCEHY,B,1/8/2019,(40.7700),60,-2446.200,530,TCEHY,S,1/8/2019,40.8400 ,60,2450.400,0.040,2450.360,4.200,0.172%,0,G,2
533,TMUS,B,1/8/2019,(68.0900),40,-2723.600,536,TMUS,S,1/8/2019,68.1500 ,40,2726.000,0.040,2725.960,2.400,0.088%,0,G,2
543,TMUS,B,1/8/2019,(68.0600),20,-1361.200,539,TMUS,S,1/8/2019,67.5401 ,20,1350.802,0.040,1350.762,-10.398,-0.764%,0,L,2
557,TMUS,B,1/8/2019,(67.6699),40,-2706.796,540,TMUS,S,1/8/2019,67.9500 ,40,2718.000,0.040,2717.960,11.204,0.414%,0,G,2
483,TVIX,B,1/8/2019,(60.3599),20,-1207.198,550,TVIX,S,1/8/2019,59.8000 ,20,1196.000,0.040,1195.960,-11.198,-0.928%,0,L,2
563,TVIX,B,1/8/2019,(59.7500),20,-1195.000,551,TVIX,S,1/8/2019,58.6600 ,20,1173.200,0.040,1173.160,-21.800,-1.824%,0,L,2
482,VXX,B,1/8/2019,(43.0600),100,-4306.000,487,VXX,S,1/8/2019,42.9500 ,100,4295.000,0.040,4294.960,-11.000,-0.255%,0,L,2
541,VXX,B,1/8/2019,(43.1300),100,-4313.000,507,VXX,S,1/8/2019,43.1000 ,100,4310.000,0.040,4309.960,-3.000,-0.070%,0,L,2
546,VXX,B,1/8/2019,(43.1300),79,-3407.270,522,VXX,S,1/8/2019,43.1500 ,79,3408.850,0.040,3408.810,1.580,0.046%,0,G,2
546,VXX,B,1/8/2019,(43.1300),1,-43.130,580,VXX,S,1/8/2019,43.1500 ,1,43.150,0.040,43.110,0.020,0.046%,0,G,2
544,VXX,B,1/8/2019,(42.5800),100,-4258.000,523,VXX,S,1/8/2019,42.8801 ,100,4288.010,0.040,4287.970,30.010,0.705%,0,G,2
597,VXX,B,1/8/2019,(42.6500),100,-4265.000,532,VXX,S,1/8/2019,42.6700 ,100,4267.000,0.020,4266.980,2.000,0.047%,0,G,2
601,VXX,B,1/8/2019,(42.6500),100,-4265.000,532,VXX,S,1/8/2019,42.6700 ,100,4267.000,0.020,4266.980,2.000,0.047%,0,G,2
602,VXX,B,1/8/2019,(42.8800),100,-4288.000,555,VXX,S,1/8/2019,42.6000 ,100,4260.000,0.040,4259.960,-28.000,-0.653%,0,L,2
559,VZ,B,1/8/2019,(57.5699),100,-5756.990,564,VZ,S,1/8/2019,57.5000 ,100,5750.000,0.040,5749.960,-6.990,-0.121%,0,L,2
569,VZ,B,1/8/2019,(57.5600),20,-1151.200,572,VZ,S,1/8/2019,58.2001 ,20,1164.002,0.040,1163.962,12.802,1.112%,0,G,2
517,YUM,B,1/8/2019,(90.8090),20,-1816.180,573,YUM,S,1/8/2019,90.3801 ,20,1807.602,0.040,1807.562,-8.578,-0.472%,0,L,2
591,YUM,B,1/8/2019,(90.7398),10,-907.398,576,YUM,S,1/8/2019,90.6360 ,10,906.360,0.040,906.320,-1.038,-0.114%,0,L,2
591,YUM,B,1/8/2019,(90.7398),10,-907.398,584,YUM,S,1/8/2019,90.6000 ,10,906.000,0.040,905.960,-1.398,-0.154%,0,L,2
598,YUM,B,1/8/2019,(90.3499),20,-1806.998,590,YUM,S,1/8/2019,90.8300 ,20,1816.600,0.040,1816.560,9.602,0.531%,0,G,2
521,YUM,B,1/8/2019,(90.8699),40,-3634.796,595,YUM,S,1/8/2019,91.1700 ,40,3646.800,0.040,3646.760,12.004,0.330%,0,G,2
692,ACB,B,1/9/2019,(5.4500),10,-54.500,699,ACB,S,1/10/2019,5.4900 ,10,54.900,0.010,54.890,0.400,0.734%,1,G,2
693,ACB,B,1/9/2019,(5.4500),2,-10.900,699,ACB,S,1/10/2019,5.4900 ,2,10.980,0.010,10.970,0.080,0.734%,1,G,2
694,ACB,B,1/9/2019,(5.4500),100,-545.000,699,ACB,S,1/10/2019,5.4900 ,100,549.000,0.010,548.990,4.000,0.734%,1,G,2
695,ACB,B,1/9/2019,(5.4500),5,-27.250,699,ACB,S,1/10/2019,5.4900 ,5,27.450,0.010,27.440,0.200,0.734%,1,G,2
696,ACB,B,1/9/2019,(5.4500),2,-10.900,699,ACB,S,1/10/2019,5.4900 ,2,10.980,0.000,10.980,0.080,0.734%,1,G,2
697,ACB,B,1/9/2019,(5.4500),12,-65.400,699,ACB,S,1/10/2019,5.4900 ,12,65.880,0.000,65.880,0.480,0.734%,1,G,2
698,ACB,B,1/9/2019,(5.4500),69,-376.050,699,ACB,S,1/10/2019,5.4900 ,69,378.810,0.000,378.810,2.760,0.734%,1,G,2
646,ADBE,B,1/9/2019,(235.1899),10,-2351.899,649,ADBE,S,1/9/2019,235.7500 ,10,2357.500,0.050,2357.450,5.601,0.238%,0,G,2
677,ADBE,B,1/9/2019,(236.3699),10,-2363.699,680,ADBE,S,1/9/2019,234.9119 ,10,2349.119,0.050,2349.069,-14.580,-0.617%,0,L,2
608,ATVI,B,1/9/2019,(50.8099),40,-2032.396,633,ATVI,S,1/9/2019,50.9601 ,40,2038.404,0.040,2038.364,6.008,0.296%,0,G,2
675,ATVI,B,1/9/2019,(50.8999),50,-2544.995,681,ATVI,S,1/9/2019,50.6301 ,50,2531.505,0.050,2531.455,-13.490,-0.530%,0,L,2
666,BND,B,1/9/2019,(79.3099),20,-1586.198,686,BND,S,1/9/2019,79.3300 ,20,1586.600,0.040,1586.560,0.402,0.025%,0,G,2
688,CME,B,1/9/2019,(178.6000),20,-3572.000,717,CME,S,1/10/2019,178.6500 ,20,3573.000,0.060,3572.940,1.000,0.028%,1,G,2
651,ETSY,B,1/9/2019,(53.6362),20,-1072.724,656,ETSY,S,1/9/2019,53.7845 ,20,1075.690,0.030,1075.660,2.966,0.276%,0,G,2
691,GE,B,1/9/2019,(8.5699),200,-1713.980,698,GE,S,1/10/2019,8.4900 ,200,1698.000,0.050,1697.950,-15.980,-0.932%,1,L,2
643,GME,B,1/9/2019,(16.0000),100,-1600.000,647,GME,S,1/9/2019,15.9000 ,100,1590.000,0.040,1589.960,-10.000,-0.625%,0,L,2
667,GME,B,1/9/2019,(15.8599),100,-1585.990,674,GME,S,1/9/2019,15.9300 ,100,1593.000,0.040,1592.960,7.010,0.442%,0,G,2
657,IRM,B,1/9/2019,(34.2400),50,-1712.000,659,IRM,S,1/9/2019,34.2800 ,50,1714.000,0.040,1713.960,2.000,0.117%,0,G,2
611,KO,B,1/9/2019,(47.1900),40,-1887.600,623,KO,S,1/9/2019,46.8200 ,40,1872.800,0.040,1872.760,-14.800,-0.784%,0,L,2
689,KO,B,1/9/2019,(46.6000),20,-932.000,706,KO,S,1/10/2019,46.6000 ,20,932.000,0.050,931.950,0.000,0.000%,1,L,2
690,KO,B,1/9/2019,(46.6000),30,-1398.000,706,KO,S,1/10/2019,46.6000 ,30,1398.000,0.050,1397.950,0.000,0.000%,1,L,2
620,KR,B,1/9/2019,(28.3999),40,-1135.996,626,KR,S,1/9/2019,28.2101 ,40,1128.404,0.030,1128.374,-7.592,-0.668%,0,L,2
613,NFLX,B,1/9/2019,(316.3899),10,-3163.899,617,NFLX,S,1/9/2019,316.9000 ,10,3169.000,0.060,3168.940,5.101,0.161%,0,G,2
631,NFLX,B,1/9/2019,(316.8370),20,-6336.740,634,NFLX,S,1/9/2019,318.9500 ,20,6379.000,0.100,6378.900,42.260,0.667%,0,G,2
653,NFLX,B,1/9/2019,(320.0900),10,-3200.900,660,NFLX,S,1/9/2019,319.3710 ,10,3193.710,0.060,3193.650,-7.190,-0.225%,0,L,2
619,O,B,1/9/2019,(62.7300),20,-1254.600,628,O,S,1/9/2019,62.7500 ,20,1255.000,0.030,1254.970,0.400,0.032%,0,G,2
614,PEGI,B,1/9/2019,(19.6099),100,-1960.990,618,PEGI,S,1/9/2019,19.6700 ,100,1967.000,0.040,1966.960,6.010,0.306%,0,G,2
622,PFE,B,1/9/2019,(43.5700),40,-1742.800,635,PFE,S,1/9/2019,43.4700 ,40,1738.800,0.040,1738.760,-4.000,-0.230%,0,L,2
652,PFE,B,1/9/2019,(43.5650),50,-2178.250,658,PFE,S,1/9/2019,43.5350 ,50,2176.750,0.040,2176.710,-1.500,-0.069%,0,L,2
640,PG,B,1/9/2019,(92.0100),20,-1840.200,645,PG,S,1/9/2019,91.8601 ,20,1837.202,0.040,1837.162,-2.998,-0.163%,0,L,2
624,SBUX,B,1/9/2019,(63.3699),30,-1901.097,627,SBUX,S,1/9/2019,63.4800 ,30,1904.400,0.040,1904.360,3.303,0.174%,0,G,2
629,SBUX,B,1/9/2019,(63.5700),20,-1271.400,636,SBUX,S,1/9/2019,63.6000 ,20,1272.000,0.030,1271.970,0.600,0.047%,0,G,2
639,SBUX,B,1/9/2019,(63.5999),20,-1271.998,641,SBUX,S,1/9/2019,63.6500 ,20,1273.000,0.030,1272.970,1.002,0.079%,0,G,2
668,SDS,B,1/9/2019,(40.0899),20,-801.798,671,SDS,S,1/9/2019,39.9800 ,20,799.600,0.030,799.570,-2.198,-0.274%,0,L,2
678,SH,B,1/9/2019,(30.3498),50,-1517.490,685,SH,S,1/9/2019,30.3800 ,50,1519.000,0.030,1518.970,1.510,0.100%,0,G,2
612,T,B,1/9/2019,(30.4599),60,-1827.594,621,T,S,1/9/2019,30.3002 ,60,1818.012,0.040,1817.972,-9.582,-0.524%,0,L,2
642,T,B,1/9/2019,(30.2100),40,-1208.400,644,T,S,1/9/2019,30.2400 ,40,1209.600,0.030,1209.570,1.200,0.099%,0,G,2
676,T,B,1/9/2019,(30.1900),50,-1509.500,682,T,S,1/9/2019,30.1301 ,50,1506.505,0.030,1506.475,-2.995,-0.198%,0,L,2
670,TMUS,B,1/9/2019,(67.8099),20,-1356.198,673,TMUS,S,1/9/2019,67.8300 ,20,1356.600,0.030,1356.570,0.402,0.030%,0,G,2
661,TVIX,B,1/9/2019,(54.5899),40,-2183.596,663,TVIX,S,1/9/2019,54.9500 ,40,2198.000,0.040,2197.960,14.404,0.660%,0,G,2
683,TVIX,B,1/9/2019,(53.2299),20,-1064.598,684,TVIX,S,1/9/2019,53.7500 ,20,1075.000,0.030,1074.970,10.402,0.977%,0,G,2
637,VXX,B,1/9/2019,(41.3200),40,-1652.800,638,VXX,S,1/9/2019,41.3900 ,40,1655.600,0.040,1655.560,2.800,0.169%,0,G,2
655,VXX,B,1/9/2019,(41.0999),60,-2465.994,662,VXX,S,1/9/2019,41.3200 ,60,2479.200,0.050,2479.150,13.206,0.536%,0,G,2
664,VXX,B,1/9/2019,(41.1600),50,-2058.000,665,VXX,S,1/9/2019,40.8001 ,50,2040.005,0.040,2039.965,-17.995,-0.874%,0,L,2
679,VXX,B,1/9/2019,(40.7900),50,-2039.500,687,VXX,S,1/9/2019,41.0800 ,50,2054.000,0.040,2053.960,14.500,0.711%,0,G,2
650,VZ,B,1/9/2019,(57.0899),20,-1141.798,654,VZ,S,1/9/2019,57.1200 ,20,1142.400,0.030,1142.370,0.602,0.053%,0,G,2
669,VZ,B,1/9/2019,(57.1597),50,-2857.985,672,VZ,S,1/9/2019,57.1800 ,50,2859.000,0.050,2858.950,1.015,0.036%,0,G,2
625,YUM,B,1/9/2019,(91.3700),20,-1827.400,648,YUM,S,1/9/2019,91.4200 ,20,1828.400,0.040,1828.360,1.000,0.055%,0,G,2
710,ABT,B,1/10/2019,(68.7575),60,-4125.450,765,ABT,S,1/10/2019,69.1010 ,60,4146.060,0.070,4145.990,20.610,0.500%,0,G,2
799,ABT,B,1/10/2019,(69.1900),20,-1383.800,806,ABT,S,1/10/2019,69.2410 ,20,1384.820,0.030,1384.790,1.020,0.074%,0,G,2
816,ABT,B,1/10/2019,(69.0100),100,-6901.000,828,ABT,S,1/10/2019,69.3200 ,100,6932.000,0.110,6931.890,31.000,0.449%,0,G,2
831,ABT,B,1/10/2019,(69.2984),100,-6929.840,872,ABT,S,1/11/2019,68.8504 ,100,6885.040,0.100,6884.940,-44.800,-0.646%,1,L,2
735,ADBE,B,1/10/2019,(235.5403),10,-2355.403,753,ADBE,S,1/10/2019,235.6500 ,10,2356.500,0.050,2356.450,1.097,0.047%,0,G,2
721,ATVI,B,1/10/2019,(50.5100),20,-1010.200,727,ATVI,S,1/10/2019,50.5400 ,20,1010.800,0.030,1010.770,0.600,0.059%,0,G,2
738,ATVI,B,1/10/2019,(50.5490),20,-1010.980,739,ATVI,S,1/10/2019,50.6000 ,20,1012.000,0.030,1011.970,1.020,0.101%,0,G,2
772,ATVI,B,1/10/2019,(50.8100),20,-1016.200,774,ATVI,S,1/10/2019,50.8300 ,20,1016.600,0.030,1016.570,0.400,0.039%,0,G,2
752,BAC,B,1/10/2019,(25.6200),100,-2562.000,755,BAC,S,1/10/2019,25.6200 ,100,2562.000,0.050,2561.950,0.000,0.000%,0,L,2
809,BAC,B,1/10/2019,(25.6495),100,-2564.950,838,BAC,S,1/10/2019,25.7001 ,100,2570.010,0.050,2569.960,5.060,0.197%,0,G,2
746,BND,B,1/10/2019,(79.2799),20,-1585.598,759,BND,S,1/10/2019,79.2101 ,20,1584.202,0.040,1584.162,-1.396,-0.088%,0,L,2
781,BND,B,1/10/2019,(79.2399),50,-3961.995,793,BND,S,1/10/2019,79.1800 ,50,3959.000,0.070,3958.930,-2.995,-0.076%,0,L,2
784,CME,B,1/10/2019,(179.0286),10,-1790.286,790,CME,S,1/10/2019,178.7801 ,10,1787.801,0.040,1787.761,-2.485,-0.139%,0,L,2
835,CME,B,1/10/2019,(179.9000),15,-2698.500,877,CME,S,1/11/2019,179.3600 ,15,2690.400,0.050,2690.350,-8.100,-0.300%,1,L,2
771,CRON,B,1/10/2019,(13.0578),200,-2611.560,778,CRON,S,1/10/2019,12.8600 ,200,2572.000,0.060,2571.940,-39.560,-1.515%,0,L,2
808,CRON,B,1/10/2019,(13.0481),4,-52.192,813,CRON,S,1/10/2019,13.0800 ,4,52.320,0.020,52.300,0.128,0.244%,0,G,2
808,CRON,B,1/10/2019,(13.0481),95,-1239.570,814,CRON,S,1/10/2019,13.0800 ,95,1242.600,0.030,1242.570,3.030,0.244%,0,G,2
808,CRON,B,1/10/2019,(13.0481),101,-1317.858,815,CRON,S,1/10/2019,13.0800 ,101,1321.080,0.030,1321.050,3.222,0.244%,0,G,2
757,ETSY,B,1/10/2019,(51.3610),20,-1027.220,761,ETSY,S,1/10/2019,51.3800 ,20,1027.600,0.030,1027.570,0.380,0.037%,0,G,2
773,GE,B,1/10/2019,(8.8093),200,-1761.860,788,GE,S,1/10/2019,8.7700 ,200,1754.000,0.050,1753.950,-7.860,-0.446%,0,L,2
785,GLD,B,1/10/2019,(121.7998),15,-1826.997,827,GLD,S,1/10/2019,121.6600 ,15,1824.900,0.040,1824.860,-2.097,-0.115%,0,L,2
762,GME,B,1/10/2019,(15.9800),100,-1598.000,769,GME,S,1/10/2019,15.8500 ,100,1585.000,0.040,1584.960,-13.000,-0.814%,0,L,2
770,HASI,B,1/10/2019,(21.6799),40,-867.196,796,HASI,S,1/10/2019,21.7407 ,40,869.628,0.030,869.598,2.432,0.280%,0,G,2
